Title,release_year,imdb_id,poster,tmdb_id,cast,director,genres,production_companies
29th Street,1991,tt0101252,https://m.media-amazon.com/images/M/MV5BMWY2MTY1NWUtN2E1NC00MTg2LWFkOWQtNmE0ODJlMDZhYzUyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg,43267,"['Anthony LaPaglia', 'Danny Aiello', 'Lainie Kazan', 'Frank Pesce', 'Robert Forster', 'Ron Karabatsos']",George Gallo,['Comedy'],['20th Century Fox']
The Addams Family,1991,tt0101272,https://m.media-amazon.com/images/M/MV5BODc1NmY0MDUtNjUzNS00ODdhLWJlN2ItMTgwZjczZjI0MDkyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,2907,"['Raúl Juliá', 'Anjelica Huston', 'Christopher Lloyd', 'Christina Ricci', 'Carel Struycken', 'Dan Hedaya']",Barry Sonnenfeld,"['Comedy', 'Fantasy']","['Scott Rudin Productions', 'Orion Pictures', 'Paramount']"
All I Want for Christmas,1991,tt0101301,https://m.media-amazon.com/images/M/MV5BMTk3MjZhN2EtYzZmYi00OWQ5LWE0NzQtNTIxYWNhNmE0N2EzXkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_.jpg,13644,"['Harley Jane Kozak', 'Jamey Sheridan', 'Thora Birch', 'Ethan Embry', 'Kevin Nealon', 'Andrea Martin']",Rob Lieberman,"['Family', 'Drama', 'Comedy']",['Paramount']
American Kickboxer,1991,tt0101325,https://m.media-amazon.com/images/M/MV5BM2E2NmYwMDMtNDk2ZS00OWZmLWIzZjEtZGUzZWQ3YmQ2MTU3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,110830,"['John Barrett', 'Keith Vitali', 'Terry Norton', 'Brad Morris', 'Ted Le Plat', 'Michael Huff']",Frans Nel,['Action'],"['Global Pictures', 'Distant Horizon', 'Cannon Group']"
An American Tail: Fievel Goes West,1991,tt0101329,https://m.media-amazon.com/images/M/MV5BZmUyOTE4YmItN2E0Zi00M2ViLWIxMTctMmZhMDRhMDZhOWZlXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg,10380,"['Phillip Glasser', 'James Stewart', 'Erica Yohn', 'Cathy Cavadini', 'Nehemiah Persoff', 'Dom DeLuise']",Simon Wells,"['Adventure', 'Animation', 'Family', 'Western']","['Amblin Entertainment', 'Universal Pictures', 'Amblimation']"
Another You,1991,tt0101356,https://m.media-amazon.com/images/M/MV5BNDdhMGJhZDQtZDNmMS00Y2IwLTgwMjAtOGE1OWQ1NTM5MDBkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,23303,"['Richard Pryor', 'Gene Wilder', 'Mercedes Ruehl', 'Stephen Lang', 'Vanessa Williams', 'Peter Michael Goetz']",Maurice Phillips,['Comedy'],['TriStar Pictures']
At Play in the Fields of the Lord,1991,tt0101373,https://m.media-amazon.com/images/M/MV5BMDNlYTI3NjgtZWE4ZC00OTlkLWEyMmItZWIxNDQ2YjZjMmYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,51515,"['Tom Berenger', 'John Lithgow', 'Daryl Hannah', 'Aidan Quinn', 'Tom Waits', 'Kathy Bates']",Héctor Babenco,"['Drama', 'Romance']","['Universal Pictures', 'The Saul Zaentz Company']"
Backdraft,1991,tt0101393,https://m.media-amazon.com/images/M/MV5BZTFjOWVkNjUtYTdkOC00MGQ5LWI5OTQtMTIyYzQwN2UzMDgzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,2924,"['Kurt Russell', 'William Baldwin', 'Robert De Niro', 'Donald Sutherland', 'Jennifer Jason Leigh', 'Scott Glenn']",Ron Howard,"['Crime', 'Drama', 'Thriller', 'Action']","['Trilogy Entertainment Group', 'Imagine Entertainment', 'Universal Pictures']"
Barton Fink,1991,tt0101410,https://m.media-amazon.com/images/M/MV5BMTgxMDMxMTctNDY0Zi00ZmNlLWFlYmQtODA2YjY4MDk4MjU1XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_.jpg,290,"['John Turturro', 'John Goodman', 'Judy Davis', 'Michael Lerner', 'Tony Shalhoub', 'John Mahoney']",Joel Coen,"['Comedy', 'Drama', 'Thriller', 'Mystery']","['Working Title Films', 'Circle Films', '20th Century Fox']"
Beauty and the Beast,1991,tt0101414,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,10020,"[""Paige O'Hara"", 'Robby Benson', 'Richard White', 'Jerry Orbach', 'David Ogden Stiers', 'Angela Lansbury']",Gary Trousdale,"['Romance', 'Family', 'Animation', 'Fantasy']","['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Feature Animation']"
Bill & Ted's Bogus Journey,1991,tt0101452,https://m.media-amazon.com/images/M/MV5BMWMzMGY4MWMtZmY5MC00NzVjLWJlMzQtMTQ2ZTM4ZWNmYzFiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg,1649,"['Keanu Reeves', 'Alex Winter', 'William Sadler', 'Joss Ackland', 'Pam Grier', 'George Carlin']",Peter Hewitt,"['Adventure', 'Comedy', 'Science Fiction']","['Orion Pictures', 'Nelson Entertainment']"
Billy Bathgate,1991,tt0101453,https://m.media-amazon.com/images/M/MV5BZjJlMTRjOWEtYjVlNy00N2MyLWFiYzgtMjk2NmQ2YzU1ZDBjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,12647,"['Loren Dean', 'Dustin Hoffman', 'Nicole Kidman', 'Bruce Willis', 'Steve Buscemi', 'Stanley Tucci']",Robert Benton,['Crime'],['Touchstone Pictures']
