title,release_year,imdb_id,poster,tmdb_id,cast,director,genres,production_companies
29th Street,1991,tt0101252,https://m.media-amazon.com/images/M/MV5BMWY2MTY1NWUtN2E1NC00MTg2LWFkOWQtNmE0ODJlMDZhYzUyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg,43267,AnthonyLaPaglia DannyAiello LainieKazan FrankPesce RobertForster RonKarabatsos,GeorgeGallo,Comedy,20thCenturyFox
The Addams Family,1991,tt0101272,https://m.media-amazon.com/images/M/MV5BODc1NmY0MDUtNjUzNS00ODdhLWJlN2ItMTgwZjczZjI0MDkyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,2907,RaúlJuliá AnjelicaHuston ChristopherLloyd ChristinaRicci CarelStruycken DanHedaya,BarrySonnenfeld,Comedy Fantasy,ScottRudinProductions OrionPictures Paramount
All I Want for Christmas,1991,tt0101301,https://m.media-amazon.com/images/M/MV5BMTk3MjZhN2EtYzZmYi00OWQ5LWE0NzQtNTIxYWNhNmE0N2EzXkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_.jpg,13644,HarleyJaneKozak JameySheridan ThoraBirch EthanEmbry KevinNealon AndreaMartin,RobLieberman,Family Drama Comedy,Paramount
American Kickboxer,1991,tt0101325,https://m.media-amazon.com/images/M/MV5BM2E2NmYwMDMtNDk2ZS00OWZmLWIzZjEtZGUzZWQ3YmQ2MTU3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,110830,JohnBarrett KeithVitali TerryNorton BradMorris TedLePlat MichaelHuff,FransNel,Action,GlobalPictures DistantHorizon CannonGroup
An American Tail: Fievel Goes West,1991,tt0101329,https://m.media-amazon.com/images/M/MV5BZmUyOTE4YmItN2E0Zi00M2ViLWIxMTctMmZhMDRhMDZhOWZlXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg,10380,PhillipGlasser JamesStewart EricaYohn CathyCavadini NehemiahPersoff DomDeLuise,SimonWells,Adventure Animation Family Western,AmblinEntertainment UniversalPictures Amblimation
Another You,1991,tt0101356,https://m.media-amazon.com/images/M/MV5BNDdhMGJhZDQtZDNmMS00Y2IwLTgwMjAtOGE1OWQ1NTM5MDBkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,23303,RichardPryor GeneWilder MercedesRuehl StephenLang VanessaWilliams PeterMichaelGoetz,MauricePhillips,Comedy,TriStarPictures
At Play in the Fields of the Lord,1991,tt0101373,https://m.media-amazon.com/images/M/MV5BMDNlYTI3NjgtZWE4ZC00OTlkLWEyMmItZWIxNDQ2YjZjMmYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,51515,TomBerenger JohnLithgow DarylHannah AidanQuinn TomWaits KathyBates,HéctorBabenco,Drama Romance,UniversalPictures TheSaulZaentzCompany
Backdraft,1991,tt0101393,https://m.media-amazon.com/images/M/MV5BZTFjOWVkNjUtYTdkOC00MGQ5LWI5OTQtMTIyYzQwN2UzMDgzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,2924,KurtRussell WilliamBaldwin RobertDeNiro DonaldSutherland JenniferJasonLeigh ScottGlenn,RonHoward,Crime Drama Thriller Action,TrilogyEntertainmentGroup ImagineEntertainment UniversalPictures
Barton Fink,1991,tt0101410,https://m.media-amazon.com/images/M/MV5BMTgxMDMxMTctNDY0Zi00ZmNlLWFlYmQtODA2YjY4MDk4MjU1XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_.jpg,290,JohnTurturro JohnGoodman JudyDavis MichaelLerner TonyShalhoub JohnMahoney,JoelCoen,Comedy Drama Thriller Mystery,WorkingTitleFilms CircleFilms 20thCenturyFox
Beauty and the Beast,1991,tt0101414,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,10020,PaigeOHara RobbyBenson RichardWhite JerryOrbach DavidOgdenStiers AngelaLansbury,GaryTrousdale,Romance Family Animation Fantasy,WaltDisneyPictures SilverScreenPartnersIV WaltDisneyFeatureAnimation
Bill & Ted's Bogus Journey,1991,tt0101452,https://m.media-amazon.com/images/M/MV5BMWMzMGY4MWMtZmY5MC00NzVjLWJlMzQtMTQ2ZTM4ZWNmYzFiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg,1649,KeanuReeves AlexWinter WilliamSadler JossAckland PamGrier GeorgeCarlin,PeterHewitt,Adventure Comedy ScienceFiction,OrionPictures NelsonEntertainment
Billy Bathgate,1991,tt0101453,https://m.media-amazon.com/images/M/MV5BZjJlMTRjOWEtYjVlNy00N2MyLWFiYzgtMjk2NmQ2YzU1ZDBjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,12647,LorenDean DustinHoffman NicoleKidman BruceWillis SteveBuscemi StanleyTucci,RobertBenton,Crime,TouchstonePictures
Bingo,1991,tt0101455,https://m.media-amazon.com/images/M/MV5BMzcyNzk2OTAtNjJkNS00YWFiLTgxNDAtZDc1MTNiZTBiYjM0XkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_.jpg,16790,CindyWilliams DavidRasche SuziePlakson JacksonDavies RobertJSteinmillerJr KurtFuller,MatthewRobbins,Action Adventure Comedy Family,TriStarPictures
Body Parts,1991,tt0101492,https://m.media-amazon.com/images/M/MV5BNTBiY2FhNzgtODI5NC00MTEzLTg1MzEtNmZhNzAyYWFlMGZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,32146,JeffFahey LindsayDuncan KimDelaney ZakesMokae BradDourif JohnWalsh,EricRed,Horror Thriller,VistaStreetEntertainment
