Title,release_year
29th Street,1991
Across the Tracks,1991
The Addams Family,1991
All I Want for Christmas,1991
American Kickboxer,1991
An American Tail: Fievel Goes West,1991
And the Sea Will Tell,1991
Another You,1991
At Play in the Fields of the Lord,1991
"Auto Theft: Hot Cars, Cold Facts",1991
Backdraft,1991
Barton Fink,1991
Beauty and the Beast,1991
Bill & Ted's Bogus Journey,1991
Billy Bathgate,1991
Bingo,1991
Blue Desert,1991
Body Parts,1991
The Boneyard,1991
The Borrower,1991
Boyz n the Hood,1991
Breathing Fire,1991
Bride of Re-Animator,1991
A Brief History of Time,1991
Brother Future,1991
Bugsy,1991
The Butcher's Wife,1991
By the Sword,1991
Cape Fear,1991
Career Opportunities,1991
Chains of Gold,1991
The Chase,1991
Children of the Night,1991
Child's Play 3,1991
Chopper Chicks in Zombietown,1991
Chuck Amuck: The Movie,1991
City of Hope,1991
City Slickers,1991
Class Action,1991
Class of Nuke 'Em High 2: Subhumanoid Meltdown,1991
Closet Land,1991
Cold Heaven,1991
The Commitments,1991
Company Business,1991
Cool as Ice,1991
Critters 3,1991
Crooked Hearts,1991
Curly Sue,1991
The Dark Backward,1991
The Dark Wind,1991
Daughters of the Dust,1991
Dead Again,1991
Deceived,1991
December,1991
Defending Your Life,1991
Defenseless,1991
Delirious,1991
Delta Force 3: The Killing Game,1991
Do or Die,1991
Doc Hollywood,1991
The Doctor,1991
Dogfight,1991
Don't Tell Mom the Babysitter's Dead,1991
The Doors,1991
Double Impact,1991
Drop Dead Fred,1991
Dutch,1991
Dying Young,1991
Edge of Honor,1991
Ernest Scared Stupid,1991
Eve of Destruction,1991
Eye of the Storm,1991
Eyes of an Angel,1991
F/X2,1991
Father of the Bride,1991
Final Approach,1991
Fires Within,1991
The Fisher King,1991
The Five Heartbeats,1991
Flight of the Intruder,1991
For the Boys,1991
Frankie and Johnny,1991
Freddy's Dead: The Final Nightmare,1991
Fried Green Tomatoes,1991
Grand Canyon,1991
Guilty by Suspicion,1991
Hangin' with the Homeboys,1991
Hard Promises,1991
The Hard Way,1991
Harley Davidson and the Marlboro Man,1991
"He Said, She Said",1991
Hear My Song,1991
Hearts of Darkness: A Filmmaker's Apocalypse,1991
Heaven Is a Playground,1991
The Heroes of Desert Storm,1991
Highlander II: The Quickening,1991
Highway 61,1991
The Hitman,1991
Homicide,1991
Hook,1991
Hot Shots!,1991
The Hours and Times,1991
House Party 2,1991
Hudson Hawk,1991
If Looks Could Kill,1991
The Indian Runner,1991
The Inner Circle,1991
In the Nick of Time,1991
JFK,1991
Johnny Suede,1991
Jungle Fever,1991
Kafka,1991
Killer Tomatoes Eat France,1991
King Ralph,1991
A Kiss Before Dying,1991
L.A. Story,1991
The Last Boy Scout,1991
Liebestraum,1991
Life Stinks,1991
The Linguini Incident,1991
Little Man Tate,1991
Livin' Large,1991
Love Hurts,1991
Madonna: Truth or Dare,1991
The Man in the Moon,1991
Married to It,1991
The Marrying Man,1991
McBain,1991
Meet the Applegates,1991
Meeting Venus,1991
Men of Respect,1991
Mississippi Masala,1991
Mobsters,1991
Mortal Thoughts,1991
Mrs. Lambert Remembers Love,1991
My Girl,1991
My Own Private Idaho,1991
Mystery Date,1991
The Naked Gun 2½: The Smell of Fear,1991
Naked Lunch,1991
Necessary Roughness,1991
New Jack City,1991
Night on Earth,1991
Not Without My Daughter,1991
Nothing but Trouble,1991
The Object of Beauty,1991
Once Around,1991
One Good Cop,1991
Only the Lonely,1991
Oscar,1991
Other People's Money,1991
Out for Justice,1991
Paradise,1991
Paris Trout,1991
Pastime,1991
Past Midnight,1991
The People Under the Stairs,1991
Perfect Harmony,1991
The Perfect Weapon,1991
Point Break,1991
Poison,1991
Popcorn,1991
The Prince of Tides,1991
Problem Child 2,1991
Puppet Master II,1991
Puppet Master III: Toulon's Revenge,1991
Pure Luck,1991
A Rage in Harlem,1991
Rambling Rose,1991
The Rapture,1991
Regarding Henry,1991
Return to the Blue Lagoon,1991
Ricochet,1991
Road to Ruin,1991
Robin Hood: Prince of Thieves,1991
The Rocketeer,1991
Rock 'n' Roll High School Forever,1991
Rover Dangerfield,1991
Run,1991
Rush,1991
Samurai Cop,1991
Scenes from a Mall,1991
Scissors,1991
Scorchers,1991
The Search for Signs of Intelligent Life in the Universe,1991
Separate but Equal,1991
Sgt. Kabukiman N.Y.P.D.,1991
Shadows and Fog,1991
Shattered,1991
Shout,1991
Showdown in Little Tokyo,1991
The Silence of the Lambs,1991
"Silent Night, Deadly Night 5: The Toy Maker",1991
Slacker,1991
Sleeping with the Enemy,1991
Soapdish,1991
Sometimes They Come Back,1991
Star Trek VI: The Undiscovered Country,1991
Stepping Out,1991
Stone Cold,1991
Straight Out of Brooklyn,1991
Strictly Business,1991
Suburban Commando,1991
The Super,1991
Switch,1991
The Taking of Beverly Hills,1991
Talent for the Game,1991
Talkin' Dirty After Dark,1991
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991
Terminator 2: Judgment Day,1991
Thelma & Louise,1991
There's Nothing Out There,1991
Timebomb,1991
Together Alone,1991
Toy Soldiers,1991
Triple Bogey on a Par Five Hole,1991
True Colors,1991
True Identity,1991
Two Evil Eyes,1991
Victim of Love,1991
The Unborn,1991
What About Bob?,1991
Where Sleeping Dogs Lie,1991
Which Way Home,1991
White Fang,1991
Whore,1991
Wild Hearts Can't Be Broken,1991
Year of the Gun,1991
"Yes Virginia, There Is a Santa Claus",1991
1492: Conquest of Paradise,1992
1991: The Year Punk Broke,1992
3 Ninjas,1992
976-Evil II,1992
Aces: Iron Eagle III,1992
Against Her Will: An Incident in Baltimore,1992
Aladdin,1992
Alien 3,1992
American Heart,1992
American Me,1992
American Samurai,1992
Army of Darkness,1992
Article 99,1992
The Babe,1992
Bad Lieutenant,1992
Basic Instinct,1992
Batman Returns,1992
Beauty and the Beast,1992
Bébé's Kids,1992
Beethoven,1992
Big Girls Don't Cry... They Get Even,1992
Blame It on the Bellboy,1992
Bloodfist III: Forced to Fight,1992
Bloodfist IV: Die Trying,1992
Blown Away,1992
Bob Roberts,1992
The Bodyguard,1992
Boomerang,1992
Brain Donors,1992
Bram Stoker's Dracula,1992
Buffy the Vampire Slayer,1992
Candyman,1992
Captain Ron,1992
Chain of Desire,1992
Chaplin,1992
Child of Rage,1992
Children of the Corn II: The Final Sacrifice,1992
Christmas in Connecticut,1992
Christopher Columbus: The Discovery,1992
Claire of the Moon,1992
Class Act,1992
Consenting Adults,1992
Cool World,1992
CrissCross,1992
Critters 4,1992
Crossing the Bridge,1992
Cruel Doubt,1992
The Cutting Edge,1992
Death Becomes Her,1992
Deep Cover,1992
Diggstown,1992
The Distinguished Gentleman,1992
Dr. Giggles,1992
Dust Devil,1992
Encino Man,1992
Equinox,1992
Falling from Grace,1992
Far and Away,1992
FernGully: The Last Rainforest,1992
A Few Good Men,1992
Fifty/Fifty,1992
Final Analysis,1992
Final Shot: The Hank Gathers Story,1992
Folks!,1992
Forever Young,1992
Four Eyes and Six Guns,1992
Freejack,1992
Frozen Assets,1992
Gas Food Lodging,1992
Gladiator,1992
Glengarry Glen Ross,1992
The Gun in Betty Lou's Handbag,1992
The Hand That Rocks the Cradle,1992
Hellraiser III: Hell on Earth,1992
Hero,1992
Highway to Hell,1992
Hoffa,1992
Home Alone 2: Lost in New York,1992
"Honey, I Blew Up the Kid",1992
Honeymoon in Vegas,1992
Housesitter,1992
Husbands and Wives,1992
In the Soup,1992
Innocent Blood,1992
Into the Sun,1992
Itsy Bitsy Spider,1992
Jennifer 8,1992
Jersey Girl,1992
Juice,1992
Jumpin' at the Boneyard,1992
Just Another Girl on the I.R.T.,1992
K2,1992
Knight Moves,1992
Kuffs,1992
Ladybugs,1992
The Last of His Tribe,1992
The Last of the Mohicans,1992
The Lawnmower Man,1992
Laws of Gravity,1992
A League of Their Own,1992
Leap of Faith,1992
Leaving Normal,1992
