title,release_year,results
Winter Day Dreams ft. Franny's Feet and Olivia,2010,[]
Garbage Dreams,2010,[]
Sweetgrass,2010,[]
Daybreakers,2010,[]
Leap Year,2010,"[{'_id': '61e597fccffb8f2faa46b81b', 'id': 'tt1216492', 'primaryImage': {'id': 'rm816680448', 'width': 1013, 'height': 1500, 'url': 'https://m.media-amazon.com/images/M/MV5BMTgzMTQ2MDQxMF5BMl5BanBnXkFtZTcwODEzOTg5Mg@@._V1_.jpg', 'caption': {'plainText': 'Amy Adams and Matthew Goode in Leap Year (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Leap Year', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Leap Year', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 8, 'month': 7, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Youth in Revolt,2010,[]
B*tch Slap,2010,[]
Crazy on the Outside,2010,"[{'_id': '61e596c6ef99b1c543466bcb', 'id': 'tt1196134', 'primaryImage': {'id': 'rm2644479488', 'width': 1417, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTgzMjgzNjcyNF5BMl5BanBnXkFtZTcwNjQ0OTEwMw@@._V1_.jpg', 'caption': {'plainText': 'Crazy on the Outside (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Crazy on the Outside', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Crazy on the Outside', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 8, 'month': 1, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Waiting for Armageddon,2010,[]
Wonderful World,2010,"[{'_id': '61e5c84ae1a8ddbd96527a51', 'id': 'tt6622356', 'primaryImage': {'id': 'rm2251407617', 'width': 731, 'height': 1037, 'url': 'https://m.media-amazon.com/images/M/MV5BY2EwMWY0MGItZDJhNy00ZjdmLWE4NzQtYWNhYmU5YmI3YTMzXkEyXkFqcGdeQXVyNjU3Mjc5MjE@._V1_.jpg', 'caption': {'plainText': 'Wonderful World (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Wonderful World', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Wonderful World', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 19, 'month': 6, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Book of Eli,2010,"[{'_id': '61e58d68a66e5964234421e7', 'id': 'tt1037705', 'primaryImage': {'id': 'rm2317359616', 'width': 1280, 'height': 1920, 'url': 'https://m.media-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_.jpg', 'caption': {'plainText': 'Denzel Washington in The Book of Eli (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Book of Eli', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Book of Eli', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 4, 'month': 3, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Spy Next Door,2010,"[{'_id': '61e59b46b597b91eb9478837', 'id': 'tt1273678', 'primaryImage': {'id': 'rm43945472', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTI5MjEzMjM4N15BMl5BanBnXkFtZTcwODc0ODEwMw@@._V1_.jpg', 'caption': {'plainText': 'Jackie Chan, Madeline Carroll, Will Shadley, and Alina Foley in The Spy Next Door (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Spy Next Door', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Spy Next Door', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 4, 'month': 2, 'year': 2010, '__typename': 'ReleaseDate'}}]"
44 Inch Chest,2010,[]
Fish Tank,2010,[]
House of Numbers: Anatomy of an Epidemic,2010,[]
Extraordinary Measures,2010,"[{'_id': '61e59996909c2ca781471e79', 'id': 'tt1244659', 'primaryImage': {'id': 'rm3590819328', 'width': 1383, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTQ2Mjg5MDEyNV5BMl5BanBnXkFtZTcwMjkxMDAxMw@@._V1_.jpg', 'caption': {'plainText': 'Harrison Ford and Brendan Fraser in Extraordinary Measures (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Extraordinary Measures', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Extraordinary Measures', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 22, 'month': 1, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Legion,2010,"[{'_id': '61e58d77d735dff3f9442731', 'id': 'tt1038686', 'primaryImage': {'id': 'rm61442304', 'width': 508, 'height': 755, 'url': 'https://m.media-amazon.com/images/M/MV5BMTMzNDg4NjYxOV5BMl5BanBnXkFtZTcwODQyNDg3Mg@@._V1_.jpg', 'caption': {'plainText': 'Paul Bettany in Legion (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Legion', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Legion', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 22, 'month': 1, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Tooth Fairy,2010,"[{'_id': '61e58922cffb8f2faa431cb7', 'id': 'tt0808510', 'primaryImage': {'id': 'rm2103019776', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTQ4NjQzMjQxNF5BMl5BanBnXkFtZTcwNTEzMDY4Mg@@._V1_.jpg', 'caption': {'plainText': 'Dwayne Johnson in Tooth Fairy (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Tooth Fairy', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Tooth Fairy', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 22, 'month': 1, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Creation,2010,[]
The Girl on the Train,2010,[]
Soundtrack for a Revolution,2010,[]
To Save a Life,2010,[]
Edge of Darkness,2010,"[{'_id': '61e59885d735dff3f946db3b', 'id': 'tt1226273', 'primaryImage': {'id': 'rm4095248640', 'width': 1166, 'height': 1728, 'url': 'https://m.media-amazon.com/images/M/MV5BMTczMDk5MTg5Ml5BMl5BanBnXkFtZTcwOTYyMjE5Mg@@._V1_.jpg', 'caption': {'plainText': 'Mel Gibson in Edge of Darkness (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Edge of Darkness', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Edge of Darkness', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 28, 'month': 1, 'year': 2010, '__typename': 'ReleaseDate'}}]"
When in Rome,2010,"[{'_id': '61e5962578c012aa344642cd', 'id': 'tt1185416', 'primaryImage': {'id': 'rm1420658944', 'width': 681, 'height': 999, 'url': 'https://m.media-amazon.com/images/M/MV5BMTM0OTQ3MjgzN15BMl5BanBnXkFtZTcwMjMyNzg3Mg@@._V1_.jpg', 'caption': {'plainText': 'Kristen Bell in When in Rome (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'When in Rome', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'When in Rome', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 17, 'month': 6, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Preacher's Kid,2010,"[{'_id': '61e59e77d8f3c0931e485931', 'id': 'tt1328913', 'primaryImage': {'id': 'rm573438464', 'width': 353, 'height': 500, 'url': 'https://m.media-amazon.com/images/M/MV5BMjMxNzE0OTk4NV5BMl5BanBnXkFtZTgwNjA3NDcwMzE@._V1_.jpg', 'caption': {'plainText': ""Preacher's Kid (2010)"", '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': ""Preacher's Kid"", '__typename': 'TitleText'}, 'originalTitleText': {'text': ""Preacher's Kid"", '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 29, 'month': 1, 'year': 2010, '__typename': 'ReleaseDate'}}]"
North Face,2010,[]
Saint John of Las Vegas,2010,[]
Ajami,2010,[]
Dear John,2010,"[{'_id': '61e58b16d8f3c0931e4390a9', 'id': 'tt0989757', 'primaryImage': {'id': 'rm2761985536', 'width': 1381, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTk1NDEzMTU5NV5BMl5BanBnXkFtZTcwNTI3MTk5Mg@@._V1_.jpg', 'caption': {'plainText': 'Amanda Seyfried and Channing Tatum in Dear John (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Dear John', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Dear John', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 11, 'month': 3, 'year': 2010, '__typename': 'ReleaseDate'}}]"
From Paris With Love,2010,[]
District 13: Ultimatum,2010,[]
Eyes Wide Open,2010,[]
Frozen,2010,"[{'_id': '61e59e20cffb8f2faa484291', 'id': 'tt1323045', 'primaryImage': {'id': 'rm2673774080', 'width': 1380, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTc5MTg0ODgxMF5BMl5BanBnXkFtZTcwODEzOTYwMw@@._V1_.jpg', 'caption': {'plainText': 'Frozen (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Frozen', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Frozen', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 25, 'month': 3, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Shinjuku Incident,2010,[]
Terribly Happy,2010,[]
Super Why! Attack of the Eraser,2010,[]
Temple Grandin,2010,[]
Percy Jackson & the Olympians: The Lightning Thief,2010,"[{'_id': '61e5893095801a78bc432205', 'id': 'tt0814255', 'primaryImage': {'id': 'rm1304043008', 'width': 1080, 'height': 1600, 'url': 'https://m.media-amazon.com/images/M/MV5BMTQ5NDlmZWUtMjIyMC00NzQ3LTg3OWYtMzRkY2FiNzQ0Njc4XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_.jpg', 'caption': {'plainText': 'Logan Lerman in Percy Jackson & the Olympians: The Lightning Thief (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Percy Jackson & the Lightning Thief', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Percy Jackson & the Olympians: The Lightning Thief', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 11, 'month': 2, 'year': 2010, '__typename': 'ReleaseDate'}}]"
