,title_x,release_year,imdb_id,poster,tmdb_id,cast,director,genres,production_companies,rank,title_y,year,worldwide_gross
0,Avatar,2009,tt0499549,https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_.jpg,19995.0,SamWorthington ZoeSaldaña StephenLang MichelleRodriguez SigourneyWeaver GiovanniRibisi,JamesCameron,Action Adventure Fantasy ScienceFiction,DuneEntertainment LightstormEntertainment 20thCenturyFox IngeniousMedia,1,Avatar,2009,"$2,923,706,026"
1,Avengers: Endgame,2019,tt4154796,https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg,299534.0,RobertDowneyJr ChrisEvans MarkRuffalo ChrisHemsworth ScarlettJohansson JeremyRenner,AnthonyRusso,Adventure ScienceFiction Action,MarvelStudios,2,Avengers: Endgame,2019,"$2,797,501,328"
2,Avatar: The Way of Water,2022,tt1630029,https://m.media-amazon.com/images/M/MV5BYjhiNjBlODctY2ZiOC00YjVlLWFlNzAtNTVhNzM1YjI1NzMxXkEyXkFqcGdeQXVyMjQxNTE1MDA@._V1_.jpg,76600.0,SamWorthington ZoeSaldaña SigourneyWeaver StephenLang KateWinslet CliffCurtis,JamesCameron,ScienceFiction Adventure Action,20thCenturyStudios LightstormEntertainment,3,Avatar: The Way of Water,2022,"$2,320,250,281"
3,Titanic,1997,tt0120338,https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,597.0,LeonardoDiCaprio KateWinslet BillyZane KathyBates FrancesFisher GloriaStuart,JamesCameron,Drama Romance,Paramount 20thCenturyFox LightstormEntertainment,4,Titanic,1997,"$2,257,844,554"
4,Star Wars: The Force Awakens,2015,tt2488496,https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_.jpg,140607.0,HarrisonFord MarkHamill CarrieFisher AdamDriver DaisyRidley JohnBoyega,JJAbrams,Adventure Action ScienceFiction,LucasfilmLtd BadRobot,5,Star Wars: The Force Awakens,2015,"$2,068,223,624"
5,Avengers: Infinity War,2018,tt4154756,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg,299536.0,RobertDowneyJr ChrisHemsworth MarkRuffalo ChrisEvans ScarlettJohansson BenedictCumberbatch,AnthonyRusso,Adventure Action ScienceFiction,MarvelStudios,6,Avengers: Infinity War,2018,"$2,048,359,754"
6,Spider-Man: No Way Home,2022,tt10872600,https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_.jpg,634649.0,TomHolland Zendaya BenedictCumberbatch JacobBatalon JonFavreau JamieFoxx,JonWatts,Action Adventure ScienceFiction,MarvelStudios PascalPictures ColumbiaPictures,7,Spider-Man: No Way Home,2021,"$1,921,847,111"
7,Jurassic World,2015,tt0369610,https://m.media-amazon.com/images/M/MV5BNzQ3OTY4NjAtNzM5OS00N2ZhLWJlOWUtYzYwZjNmOWRiMzcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,135397.0,ChrisPratt BryceDallasHoward TySimpkins NickRobinson VincentDOnofrio BDWong,ColinTrevorrow,Action Adventure ScienceFiction Thriller,AmblinEntertainment UniversalPictures,8,Jurassic World,2015,"$1,671,537,444"
8,The Lion King,2019,tt6105098,https://m.media-amazon.com/images/M/MV5BMjIwMjE1Nzc4NV5BMl5BanBnXkFtZTgwNDg4OTA1NzM@._V1_.jpg,420818.0,ChiwetelEjiofor JohnOliver JamesEarlJones JohnKani AlfreWoodard JDMcCrary,JonFavreau,Adventure Drama Family Animation,WaltDisneyPictures FairviewEntertainment,9,The Lion King,2019,"$1,656,943,394"
9,The Avengers,2012,tt0848228,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,24428.0,RobertDowneyJr ChrisEvans MarkRuffalo ChrisHemsworth ScarlettJohansson JeremyRenner,JossWhedon,ScienceFiction Action Adventure,MarvelStudios,10,The Avengers,2012,"$1,518,815,515"
10,Furious 7,2015,tt2820852,https://m.media-amazon.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_.jpg,168259.0,VinDiesel PaulWalker JasonStatham MichelleRodriguez JordanaBrewster TyreseGibson,JamesWan,Action Thriller Crime,OriginalFilm OneRace UniversalPictures,11,Furious 7,2015,"$1,515,341,399"
11,Top Gun: Maverick,2022,tt1745960,https://m.media-amazon.com/images/M/MV5BZWYzOGEwNTgtNWU3NS00ZTQ0LWJkODUtMmVhMjIwMjA1ZmQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,361743.0,TomCruise MilesTeller JenniferConnelly JonHamm GlenPowell EdHarris,JosephKosinski,Action Drama,Skydance DonSimpson/JerryBruckheimerFilms Paramount,12,Top Gun: Maverick,2022,"$1,495,696,292"
12,Frozen II,2020,tt4520988,https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_.jpg,330457.0,IdinaMenzel KristenBell JoshGad JonathanGroff SterlingKBrown EvanRachelWood,ChrisBuck,Family Animation Adventure Comedy Fantasy,WaltDisneyPictures WaltDisneyAnimationStudios,13,Frozen II,2019,"$1,450,026,933"
13,Avengers: Age of Ultron,2015,tt2395427,https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_.jpg,99861.0,RobertDowneyJr JamesSpader MarkRuffalo ChrisHemsworth ChrisEvans ScarlettJohansson,JossWhedon,Action Adventure ScienceFiction,MarvelStudios,14,Avengers: Age of Ultron,2015,"$1,402,809,540"
